Key,Year,Level,Transmute,Good,GoodYear,ResolvedYear,GoodDisplayName,Quantity,IsSource
2020|Ava's +5 Holy Avenger|PYP||FALSE,2020,Legendary,Ava's +5 Holy Avenger,PYP,,2020,Ultra Rare,2,FALSE
2020|Ava's +5 Holy Avenger|Alchemist's Ink||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Alchemist's Ink,,2020,Alchemist's Ink,10,FALSE
2020|Ava's +5 Holy Avenger|Alchemist's Parchment||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Alchemist's Parchment,,2020,Alchemist's Parchment,15,FALSE
2020|Ava's +5 Holy Avenger|Aragonite||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Aragonite,,2020,Aragonite,2,FALSE
2020|Ava's +5 Holy Avenger|Darkwood Plank||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Darkwood Plank,,2020,Darkwood Plank,30,FALSE
2020|Ava's +5 Holy Avenger|Dwarven Steel||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Dwarven Steel,,2020,Dwarven Steel,10,FALSE
2020|Ava's +5 Holy Avenger|Elven Bismuth||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Elven Bismuth,,2020,Elven Bismuth,2,FALSE
2020|Ava's +5 Holy Avenger|Enchanter's Munition||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Enchanter's Munition,,2020,Enchanter's Munition,3,FALSE
2020|Ava's +5 Holy Avenger|Fleece||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Fleece,,2020,Golden Fleece,2,FALSE
2020|Ava's +5 Holy Avenger|Minotaur Hide||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Minotaur Hide,,2020,Minotaur Hide,15,FALSE
2020|Ava's +5 Holy Avenger|Mystic Silk||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Mystic Silk,,2020,Mystic Silk,25,FALSE
2020|Ava's +5 Holy Avenger|Oil of Enchantment||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Ava's +5 Holy Avenger|Philosopher's Stone||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Philosopher's Stone,,2020,Philosopher's Stone,25,FALSE
"2020|Ava's +5 Holy Avenger|1,000 GP Gold Bar||FALSE",2020,Legendary,Ava's +5 Holy Avenger,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",25,FALSE
2020|Ava's +5 Holy Avenger|Wish||FALSE,2020,Legendary,Ava's +5 Holy Avenger,Wish,,2020,Wish Ring,1,FALSE
2020|Ava's +5 Holy Avenger|+3 Holy Avenger||TRUE,2020,Legendary,Ava's +5 Holy Avenger,+3 Holy Avenger,,2020,+3 Holy Avenger (transmute),1,TRUE
2020|Benrow's Elder Drake Necklace|PYP||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,PYP,,2020,Ultra Rare,2,FALSE
2020|Benrow's Elder Drake Necklace|Alchemist's Ink||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Alchemist's Ink,,2020,Alchemist's Ink,15,FALSE
2020|Benrow's Elder Drake Necklace|Alchemist's Parchment||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Alchemist's Parchment,,2020,Alchemist's Parchment,15,FALSE
2020|Benrow's Elder Drake Necklace|Aragonite||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Aragonite,,2020,Aragonite,2,FALSE
2020|Benrow's Elder Drake Necklace|Darkwood Plank||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Darkwood Plank,,2020,Darkwood Plank,30,FALSE
2020|Benrow's Elder Drake Necklace|Dwarven Steel||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Dwarven Steel,,2020,Dwarven Steel,15,FALSE
2020|Benrow's Elder Drake Necklace|Elven Bismuth||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Elven Bismuth,,2020,Elven Bismuth,3,FALSE
2020|Benrow's Elder Drake Necklace|Enchanter's Munition||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Enchanter's Munition,,2020,Enchanter's Munition,3,FALSE
2020|Benrow's Elder Drake Necklace|Fleece||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Fleece,,2020,Golden Fleece,2,FALSE
2020|Benrow's Elder Drake Necklace|Minotaur Hide||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Minotaur Hide,,2020,Minotaur Hide,15,FALSE
2020|Benrow's Elder Drake Necklace|Mystic Silk||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Mystic Silk,,2020,Mystic Silk,35,FALSE
2020|Benrow's Elder Drake Necklace|Oil of Enchantment||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Benrow's Elder Drake Necklace|Philosopher's Stone||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Philosopher's Stone,,2020,Philosopher's Stone,25,FALSE
"2020|Benrow's Elder Drake Necklace|1,000 GP Gold Bar||FALSE",2020,Legendary,Benrow's Elder Drake Necklace,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",25,FALSE
2020|Benrow's Elder Drake Necklace|Wish||FALSE,2020,Legendary,Benrow's Elder Drake Necklace,Wish,,2020,Wish Ring,1,FALSE
2020|Benrow's Elder Drake Necklace|Necklace of the Spirit Drake||TRUE,2020,Legendary,Benrow's Elder Drake Necklace,Necklace of the Spirit Drake,,2020,Necklace of the Spirit Drake (transmute),1,TRUE
2020|Ralson's Pendant of the Elder Yew|PYP||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,PYP,,2020,Ultra Rare,2,FALSE
2020|Ralson's Pendant of the Elder Yew|Alchemist's Ink||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Alchemist's Ink,,2020,Alchemist's Ink,15,FALSE
2020|Ralson's Pendant of the Elder Yew|Alchemist's Parchment||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Alchemist's Parchment,,2020,Alchemist's Parchment,15,FALSE
2020|Ralson's Pendant of the Elder Yew|Aragonite||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Aragonite,,2020,Aragonite,2,FALSE
2020|Ralson's Pendant of the Elder Yew|Darkwood Plank||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Darkwood Plank,,2020,Darkwood Plank,30,FALSE
2020|Ralson's Pendant of the Elder Yew|Dwarven Steel||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Dwarven Steel,,2020,Dwarven Steel,15,FALSE
2020|Ralson's Pendant of the Elder Yew|Elven Bismuth||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Elven Bismuth,,2020,Elven Bismuth,2,FALSE
2020|Ralson's Pendant of the Elder Yew|Enchanter's Munition||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Enchanter's Munition,,2020,Enchanter's Munition,3,FALSE
2020|Ralson's Pendant of the Elder Yew|Fleece||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Fleece,,2020,Golden Fleece,2,FALSE
2020|Ralson's Pendant of the Elder Yew|Minotaur Hide||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Minotaur Hide,,2020,Minotaur Hide,20,FALSE
2020|Ralson's Pendant of the Elder Yew|Mystic Silk||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Mystic Silk,,2020,Mystic Silk,30,FALSE
2020|Ralson's Pendant of the Elder Yew|Oil of Enchantment||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Ralson's Pendant of the Elder Yew|Philosopher's Stone||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Philosopher's Stone,,2020,Philosopher's Stone,25,FALSE
"2020|Ralson's Pendant of the Elder Yew|1,000 GP Gold Bar||FALSE",2020,Legendary,Ralson's Pendant of the Elder Yew,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",25,FALSE
2020|Ralson's Pendant of the Elder Yew|Wish||FALSE,2020,Legendary,Ralson's Pendant of the Elder Yew,Wish,,2020,Wish Ring,1,FALSE
2020|Ralson's Pendant of the Elder Yew|Pendant of the Yew||TRUE,2020,Legendary,Ralson's Pendant of the Elder Yew,Pendant of the Yew,,2020,Pendant of the Yew (transmute),1,TRUE
2020|Bog's Medallion of Berserking|PYP||FALSE,2020,Legendary,Bog's Medallion of Berserking,PYP,,2020,Ultra Rare,2,FALSE
2020|Bog's Medallion of Berserking|Alchemist's Ink||FALSE,2020,Legendary,Bog's Medallion of Berserking,Alchemist's Ink,,2020,Alchemist's Ink,10,FALSE
2020|Bog's Medallion of Berserking|Alchemist's Parchment||FALSE,2020,Legendary,Bog's Medallion of Berserking,Alchemist's Parchment,,2020,Alchemist's Parchment,10,FALSE
2020|Bog's Medallion of Berserking|Aragonite||FALSE,2020,Legendary,Bog's Medallion of Berserking,Aragonite,,2020,Aragonite,2,FALSE
2020|Bog's Medallion of Berserking|Darkwood Plank||FALSE,2020,Legendary,Bog's Medallion of Berserking,Darkwood Plank,,2020,Darkwood Plank,30,FALSE
2020|Bog's Medallion of Berserking|Dwarven Steel||FALSE,2020,Legendary,Bog's Medallion of Berserking,Dwarven Steel,,2020,Dwarven Steel,15,FALSE
2020|Bog's Medallion of Berserking|Elven Bismuth||FALSE,2020,Legendary,Bog's Medallion of Berserking,Elven Bismuth,,2020,Elven Bismuth,3,FALSE
2020|Bog's Medallion of Berserking|Enchanter's Munition||FALSE,2020,Legendary,Bog's Medallion of Berserking,Enchanter's Munition,,2020,Enchanter's Munition,3,FALSE
2020|Bog's Medallion of Berserking|Fleece||FALSE,2020,Legendary,Bog's Medallion of Berserking,Fleece,,2020,Golden Fleece,2,FALSE
2020|Bog's Medallion of Berserking|Minotaur Hide||FALSE,2020,Legendary,Bog's Medallion of Berserking,Minotaur Hide,,2020,Minotaur Hide,10,FALSE
2020|Bog's Medallion of Berserking|Mystic Silk||FALSE,2020,Legendary,Bog's Medallion of Berserking,Mystic Silk,,2020,Mystic Silk,35,FALSE
2020|Bog's Medallion of Berserking|Oil of Enchantment||FALSE,2020,Legendary,Bog's Medallion of Berserking,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Bog's Medallion of Berserking|Philosopher's Stone||FALSE,2020,Legendary,Bog's Medallion of Berserking,Philosopher's Stone,,2020,Philosopher's Stone,35,FALSE
"2020|Bog's Medallion of Berserking|1,000 GP Gold Bar||FALSE",2020,Legendary,Bog's Medallion of Berserking,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",25,FALSE
2020|Bog's Medallion of Berserking|Wish||FALSE,2020,Legendary,Bog's Medallion of Berserking,Wish,,2020,Wish Ring,1,FALSE
2020|Bog's Medallion of Berserking|Medallion of Furious Attack||TRUE,2020,Legendary,Bog's Medallion of Berserking,Medallion of Furious Attack,,2020,Medallion of Furious Attack (transmute),1,TRUE
2020|+3 Holy Avenger|PYP||FALSE,2020,Relic,+3 Holy Avenger,PYP,,2020,Ultra Rare,1,FALSE
2020|+3 Holy Avenger|Alchemist's Ink||FALSE,2020,Relic,+3 Holy Avenger,Alchemist's Ink,,2020,Alchemist's Ink,10,FALSE
2020|+3 Holy Avenger|Alchemist's Parchment||FALSE,2020,Relic,+3 Holy Avenger,Alchemist's Parchment,,2020,Alchemist's Parchment,10,FALSE
2020|+3 Holy Avenger|Aragonite||FALSE,2020,Relic,+3 Holy Avenger,Aragonite,,2020,Aragonite,1,FALSE
2020|+3 Holy Avenger|Darkwood Plank||FALSE,2020,Relic,+3 Holy Avenger,Darkwood Plank,,2020,Darkwood Plank,25,FALSE
2020|+3 Holy Avenger|Dwarven Steel||FALSE,2020,Relic,+3 Holy Avenger,Dwarven Steel,,2020,Dwarven Steel,10,FALSE
2020|+3 Holy Avenger|Elven Bismuth||FALSE,2020,Relic,+3 Holy Avenger,Elven Bismuth,,2020,Elven Bismuth,1,FALSE
2020|+3 Holy Avenger|Enchanter's Munition||FALSE,2020,Relic,+3 Holy Avenger,Enchanter's Munition,,2020,Enchanter's Munition,2,FALSE
2020|+3 Holy Avenger|Fleece||FALSE,2020,Relic,+3 Holy Avenger,Fleece,,2020,Golden Fleece,1,FALSE
2020|+3 Holy Avenger|Minotaur Hide||FALSE,2020,Relic,+3 Holy Avenger,Minotaur Hide,,2020,Minotaur Hide,10,FALSE
2020|+3 Holy Avenger|Mystic Silk||FALSE,2020,Relic,+3 Holy Avenger,Mystic Silk,,2020,Mystic Silk,25,FALSE
2020|+3 Holy Avenger|Oil of Enchantment||FALSE,2020,Relic,+3 Holy Avenger,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|+3 Holy Avenger|Philosopher's Stone||FALSE,2020,Relic,+3 Holy Avenger,Philosopher's Stone,,2020,Philosopher's Stone,15,FALSE
"2020|+3 Holy Avenger|1,000 GP Gold Bar||FALSE",2020,Relic,+3 Holy Avenger,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",5,FALSE
2020|Necklace of the Spirit Drake|PYP||FALSE,2020,Relic,Necklace of the Spirit Drake,PYP,,2020,Ultra Rare,1,FALSE
2020|Necklace of the Spirit Drake|Alchemist's Ink||FALSE,2020,Relic,Necklace of the Spirit Drake,Alchemist's Ink,,2020,Alchemist's Ink,10,FALSE
2020|Necklace of the Spirit Drake|Alchemist's Parchment||FALSE,2020,Relic,Necklace of the Spirit Drake,Alchemist's Parchment,,2020,Alchemist's Parchment,10,FALSE
2020|Necklace of the Spirit Drake|Aragonite||FALSE,2020,Relic,Necklace of the Spirit Drake,Aragonite,,2020,Aragonite,1,FALSE
2020|Necklace of the Spirit Drake|Darkwood Plank||FALSE,2020,Relic,Necklace of the Spirit Drake,Darkwood Plank,,2020,Darkwood Plank,25,FALSE
2020|Necklace of the Spirit Drake|Dwarven Steel||FALSE,2020,Relic,Necklace of the Spirit Drake,Dwarven Steel,,2020,Dwarven Steel,10,FALSE
2020|Necklace of the Spirit Drake|Elven Bismuth||FALSE,2020,Relic,Necklace of the Spirit Drake,Elven Bismuth,,2020,Elven Bismuth,2,FALSE
2020|Necklace of the Spirit Drake|Enchanter's Munition||FALSE,2020,Relic,Necklace of the Spirit Drake,Enchanter's Munition,,2020,Enchanter's Munition,2,FALSE
2020|Necklace of the Spirit Drake|Fleece||FALSE,2020,Relic,Necklace of the Spirit Drake,Fleece,,2020,Golden Fleece,1,FALSE
2020|Necklace of the Spirit Drake|Minotaur Hide||FALSE,2020,Relic,Necklace of the Spirit Drake,Minotaur Hide,,2020,Minotaur Hide,5,FALSE
2020|Necklace of the Spirit Drake|Mystic Silk||FALSE,2020,Relic,Necklace of the Spirit Drake,Mystic Silk,,2020,Mystic Silk,25,FALSE
2020|Necklace of the Spirit Drake|Oil of Enchantment||FALSE,2020,Relic,Necklace of the Spirit Drake,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Necklace of the Spirit Drake|Philosopher's Stone||FALSE,2020,Relic,Necklace of the Spirit Drake,Philosopher's Stone,,2020,Philosopher's Stone,15,FALSE
"2020|Necklace of the Spirit Drake|1,000 GP Gold Bar||FALSE",2020,Relic,Necklace of the Spirit Drake,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",5,FALSE
2020|Pendant of the Yew|PYP||FALSE,2020,Relic,Pendant of the Yew,PYP,,2020,Ultra Rare,1,FALSE
2020|Pendant of the Yew|Alchemist's Ink||FALSE,2020,Relic,Pendant of the Yew,Alchemist's Ink,,2020,Alchemist's Ink,15,FALSE
2020|Pendant of the Yew|Alchemist's Parchment||FALSE,2020,Relic,Pendant of the Yew,Alchemist's Parchment,,2020,Alchemist's Parchment,15,FALSE
2020|Pendant of the Yew|Aragonite||FALSE,2020,Relic,Pendant of the Yew,Aragonite,,2020,Aragonite,2,FALSE
2020|Pendant of the Yew|Darkwood Plank||FALSE,2020,Relic,Pendant of the Yew,Darkwood Plank,,2020,Darkwood Plank,25,FALSE
2020|Pendant of the Yew|Dwarven Steel||FALSE,2020,Relic,Pendant of the Yew,Dwarven Steel,,2020,Dwarven Steel,10,FALSE
2020|Pendant of the Yew|Elven Bismuth||FALSE,2020,Relic,Pendant of the Yew,Elven Bismuth,,2020,Elven Bismuth,1,FALSE
2020|Pendant of the Yew|Enchanter's Munition||FALSE,2020,Relic,Pendant of the Yew,Enchanter's Munition,,2020,Enchanter's Munition,2,FALSE
2020|Pendant of the Yew|Fleece||FALSE,2020,Relic,Pendant of the Yew,Fleece,,2020,Golden Fleece,1,FALSE
2020|Pendant of the Yew|Minotaur Hide||FALSE,2020,Relic,Pendant of the Yew,Minotaur Hide,,2020,Minotaur Hide,10,FALSE
2020|Pendant of the Yew|Mystic Silk||FALSE,2020,Relic,Pendant of the Yew,Mystic Silk,,2020,Mystic Silk,25,FALSE
2020|Pendant of the Yew|Oil of Enchantment||FALSE,2020,Relic,Pendant of the Yew,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Pendant of the Yew|Philosopher's Stone||FALSE,2020,Relic,Pendant of the Yew,Philosopher's Stone,,2020,Philosopher's Stone,15,FALSE
"2020|Pendant of the Yew|1,000 GP Gold Bar||FALSE",2020,Relic,Pendant of the Yew,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",5,FALSE
2020|Medallion of Furious Attack|PYP||FALSE,2020,Relic,Medallion of Furious Attack,PYP,,2020,Ultra Rare,1,FALSE
2020|Medallion of Furious Attack|Alchemist's Ink||FALSE,2020,Relic,Medallion of Furious Attack,Alchemist's Ink,,2020,Alchemist's Ink,10,FALSE
2020|Medallion of Furious Attack|Alchemist's Parchment||FALSE,2020,Relic,Medallion of Furious Attack,Alchemist's Parchment,,2020,Alchemist's Parchment,5,FALSE
2020|Medallion of Furious Attack|Aragonite||FALSE,2020,Relic,Medallion of Furious Attack,Aragonite,,2020,Aragonite,1,FALSE
2020|Medallion of Furious Attack|Darkwood Plank||FALSE,2020,Relic,Medallion of Furious Attack,Darkwood Plank,,2020,Darkwood Plank,25,FALSE
2020|Medallion of Furious Attack|Dwarven Steel||FALSE,2020,Relic,Medallion of Furious Attack,Dwarven Steel,,2020,Dwarven Steel,15,FALSE
2020|Medallion of Furious Attack|Elven Bismuth||FALSE,2020,Relic,Medallion of Furious Attack,Elven Bismuth,,2020,Elven Bismuth,2,FALSE
2020|Medallion of Furious Attack|Enchanter's Munition||FALSE,2020,Relic,Medallion of Furious Attack,Enchanter's Munition,,2020,Enchanter's Munition,2,FALSE
2020|Medallion of Furious Attack|Fleece||FALSE,2020,Relic,Medallion of Furious Attack,Fleece,,2020,Golden Fleece,1,FALSE
2020|Medallion of Furious Attack|Minotaur Hide||FALSE,2020,Relic,Medallion of Furious Attack,Minotaur Hide,,2020,Minotaur Hide,10,FALSE
2020|Medallion of Furious Attack|Mystic Silk||FALSE,2020,Relic,Medallion of Furious Attack,Mystic Silk,,2020,Mystic Silk,25,FALSE
2020|Medallion of Furious Attack|Oil of Enchantment||FALSE,2020,Relic,Medallion of Furious Attack,Oil of Enchantment,,2020,Oil of Enchantment,1,FALSE
2020|Medallion of Furious Attack|Philosopher's Stone||FALSE,2020,Relic,Medallion of Furious Attack,Philosopher's Stone,,2020,Philosopher's Stone,25,FALSE
"2020|Medallion of Furious Attack|1,000 GP Gold Bar||FALSE",2020,Relic,Medallion of Furious Attack,"1,000 GP Gold Bar",,2020,"1,000 GP Gold Bar",5,FALSE
2021|Greater Ring of Reflexes|Darkwood Plank||FALSE,2021,Exalted,Greater Ring of Reflexes,Darkwood Plank,,2021,Darkwood Plank,3,FALSE
2021|Greater Ring of Reflexes|Monster Trophy||FALSE,2021,Exalted,Greater Ring of Reflexes,Monster Trophy,,2021,Monster Trophy,1,FALSE
2021|Greater Ring of Reflexes|Mystic Silk||FALSE,2021,Exalted,Greater Ring of Reflexes,Mystic Silk,,2021,Mystic Silk,2,FALSE
2021|Greater Ring of Reflexes|Philosopher's Stone||FALSE,2021,Exalted,Greater Ring of Reflexes,Philosopher's Stone,,2021,Philosopher's Stone,3,FALSE
2021|Master Ale Drinker's Bead|Darkwood Plank||FALSE,2021,Exalted,Master Ale Drinker's Bead,Darkwood Plank,,2021,Darkwood Plank,3,FALSE
2021|Master Ale Drinker's Bead|Dwarven Steel||FALSE,2021,Exalted,Master Ale Drinker's Bead,Dwarven Steel,,2021,Dwarven Steel,2,FALSE
2021|Master Ale Drinker's Bead|Monster Trophy||FALSE,2021,Exalted,Master Ale Drinker's Bead,Monster Trophy,,2021,Monster Trophy,1,FALSE
2021|Master Ale Drinker's Bead|Mystic Silk||FALSE,2021,Exalted,Master Ale Drinker's Bead,Mystic Silk,,2021,Mystic Silk,2,FALSE
2021|Master Ale Drinker's Bead|Philosopher's Stone||FALSE,2021,Exalted,Master Ale Drinker's Bead,Philosopher's Stone,,2021,Philosopher's Stone,2,FALSE
2021|Master Drinker's Gloves|Darkwood Plank||FALSE,2021,Exalted,Master Drinker's Gloves,Darkwood Plank,,2021,Darkwood Plank,2,FALSE
2021|Master Drinker's Gloves|Dwarven Steel||FALSE,2021,Exalted,Master Drinker's Gloves,Dwarven Steel,,2021,Dwarven Steel,1,FALSE
2021|Master Drinker's Gloves|Monster Trophy||FALSE,2021,Exalted,Master Drinker's Gloves,Monster Trophy,,2021,Monster Trophy,1,FALSE
2021|Master Drinker's Gloves|Mystic Silk||FALSE,2021,Exalted,Master Drinker's Gloves,Mystic Silk,,2021,Mystic Silk,3,FALSE
2021|Master Drinker's Gloves|Philosopher's Stone||FALSE,2021,Exalted,Master Drinker's Gloves,Philosopher's Stone,,2021,Philosopher's Stone,3,FALSE
2021|Viv's Amulet of Noble Might|PYP||FALSE,2021,Legendary,Viv's Amulet of Noble Might,PYP,,2021,Ultra Rare,2,FALSE
2021|Viv's Amulet of Noble Might|Alchemist's Ink||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Alchemist's Ink,,2021,Alchemist's Ink,10,FALSE
2021|Viv's Amulet of Noble Might|Alchemist's Parchment||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Alchemist's Parchment,,2021,Alchemist's Parchment,10,FALSE
2021|Viv's Amulet of Noble Might|Aragonite||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Aragonite,,2021,Aragonite,2,FALSE
2021|Viv's Amulet of Noble Might|Darkwood Plank||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Darkwood Plank,,2021,Darkwood Plank,25,FALSE
2021|Viv's Amulet of Noble Might|Dwarven Steel||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Dwarven Steel,,2021,Dwarven Steel,20,FALSE
2021|Viv's Amulet of Noble Might|Elven Bismuth||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Elven Bismuth,,2021,Elven Bismuth,3,FALSE
2021|Viv's Amulet of Noble Might|Enchanter's Munition||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Enchanter's Munition,,2021,Enchanter's Munition,3,FALSE
2021|Viv's Amulet of Noble Might|Fleece||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Fleece,,2021,Golden Fleece,2,FALSE
2021|Viv's Amulet of Noble Might|Minotaur Hide||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Minotaur Hide,,2021,Minotaur Hide,10,FALSE
2021|Viv's Amulet of Noble Might|Mystic Silk||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Mystic Silk,,2021,Mystic Silk,35,FALSE
2021|Viv's Amulet of Noble Might|Oil of Enchantment||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Oil of Enchantment,,2021,Oil of Enchantment,2,FALSE
2021|Viv's Amulet of Noble Might|Philosopher's Stone||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Philosopher's Stone,,2021,Philosopher's Stone,35,FALSE
"2021|Viv's Amulet of Noble Might|1,000 GP Gold Bar||FALSE",2021,Legendary,Viv's Amulet of Noble Might,"1,000 GP Gold Bar",,2021,"1,000 GP Gold Bar",25,FALSE
2021|Viv's Amulet of Noble Might|Wish||FALSE,2021,Legendary,Viv's Amulet of Noble Might,Wish,,2021,Wish Ring,1,FALSE
2021|Viv's Amulet of Noble Might|Amulet of Noble Might||TRUE,2021,Legendary,Viv's Amulet of Noble Might,Amulet of Noble Might,,2021,Amulet of Noble Might (transmute),1,TRUE
2021|Ashenne's Arch-Mage Medallion|PYP||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,PYP,,2021,Ultra Rare,2,FALSE
2021|Ashenne's Arch-Mage Medallion|Alchemist's Ink||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Alchemist's Ink,,2021,Alchemist's Ink,10,FALSE
2021|Ashenne's Arch-Mage Medallion|Alchemist's Parchment||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Alchemist's Parchment,,2021,Alchemist's Parchment,10,FALSE
2021|Ashenne's Arch-Mage Medallion|Aragonite||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Aragonite,,2021,Aragonite,2,FALSE
2021|Ashenne's Arch-Mage Medallion|Darkwood Plank||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Darkwood Plank,,2021,Darkwood Plank,25,FALSE
2021|Ashenne's Arch-Mage Medallion|Dwarven Steel||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Dwarven Steel,,2021,Dwarven Steel,20,FALSE
2021|Ashenne's Arch-Mage Medallion|Elven Bismuth||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Elven Bismuth,,2021,Elven Bismuth,3,FALSE
2021|Ashenne's Arch-Mage Medallion|Enchanter's Munition||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Enchanter's Munition,,2021,Enchanter's Munition,3,FALSE
2021|Ashenne's Arch-Mage Medallion|Fleece||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Fleece,,2021,Golden Fleece,2,FALSE
2021|Ashenne's Arch-Mage Medallion|Minotaur Hide||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Minotaur Hide,,2021,Minotaur Hide,10,FALSE
2021|Ashenne's Arch-Mage Medallion|Mystic Silk||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Mystic Silk,,2021,Mystic Silk,35,FALSE
2021|Ashenne's Arch-Mage Medallion|Oil of Enchantment||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Oil of Enchantment,,2021,Oil of Enchantment,2,FALSE
2021|Ashenne's Arch-Mage Medallion|Philosopher's Stone||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Philosopher's Stone,,2021,Philosopher's Stone,35,FALSE
"2021|Ashenne's Arch-Mage Medallion|1,000 GP Gold Bar||FALSE",2021,Legendary,Ashenne's Arch-Mage Medallion,"1,000 GP Gold Bar",,2021,"1,000 GP Gold Bar",25,FALSE
2021|Ashenne's Arch-Mage Medallion|Wish||FALSE,2021,Legendary,Ashenne's Arch-Mage Medallion,Wish,,2021,Wish Ring,1,FALSE
2021|Ashenne's Arch-Mage Medallion|Mage Medallion||TRUE,2021,Legendary,Ashenne's Arch-Mage Medallion,Mage Medallion,,2021,Mage Medallion (transmute),1,TRUE
2021|Druegar's Sacred Necklace|PYP||FALSE,2021,Legendary,Druegar's Sacred Necklace,PYP,,2021,Ultra Rare,2,FALSE
2021|Druegar's Sacred Necklace|Alchemist's Ink||FALSE,2021,Legendary,Druegar's Sacred Necklace,Alchemist's Ink,,2021,Alchemist's Ink,15,FALSE
2021|Druegar's Sacred Necklace|Alchemist's Parchment||FALSE,2021,Legendary,Druegar's Sacred Necklace,Alchemist's Parchment,,2021,Alchemist's Parchment,10,FALSE
