key,auctionSeason,Item,Display Name,Category
2026Elven Bismuth,2026,Elven Bismuth,Elven Bismuth,Trade 2
2026Enchanter's Munition,2026,Enchanter's Munition,Enchanter's Munition,Trade 1
2026Fleece,2026,Fleece,Golden Fleece,Fleece
2026Golden Ticket,2026,Golden Ticket,Golden Ticket,Golden Ticket
2026Guild Button,2026,Guild Button,Adventurers' Guild Button,Bonus
2026Herald Token,2026,Herald Token,Herald Token,Treasure Chest
2026Minotaur Hide,2026,Minotaur Hide,Minotaur Hide,Trade 1
2026Monster Trophy,2026,Monster Trophy,Monster Trophy,Treasure Chest
2026Mystic Silk,2026,Mystic Silk,Mystic Silk,Trade 1
2026Oil of Enchantment,2026,Oil of Enchantment,Oil of Enchantment,Trade 2
2026Patron Pin,2026,Patron Pin,Patron Pin,Premium
2026Philosopher's Stone,2026,Philosopher's Stone,Philosopher's Stone,Trade 1
2026Preorder Bonus,2026,Preorder Bonus,Drake's Draught,Preorder
2026PYP,2026,PYP,Ultra Rare,Ultra Rare
2026Treasure Chip,2026,Treasure Chip,Treasure Chip (each),Preorder
2026Wish,2026,Wish,Wish Ring,Premium
"20271,000 GP Gold Bar",2027,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
202710x Treasure Chip,2027,10x Treasure Chip,Treasure Chip (each),Preorder
20271k Bonus,2027,1k Bonus,Ring of the 1st Circle,Premium
20272k Bonus,2027,2k Bonus,Mark of the 1st Tenet,Premium
20278k Bonus,2027,8k Bonus,Path to Enlightenment (Fragment 4),Premium
2027Alchemist's Ink,2027,Alchemist's Ink,Alchemist's Ink,Trade 1
2027Alchemist's Parchment,2027,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2027Aragonite,2027,Aragonite,Aragonite,Trade 2
2027Darkwood Plank,2027,Darkwood Plank,Darkwood Plank,Trade 1
2027Dwarven Steel,2027,Dwarven Steel,Dwarven Steel,Trade 1
2027Elven Bismuth,2027,Elven Bismuth,Elven Bismuth,Trade 2
2027Enchanter's Munition,2027,Enchanter's Munition,Enchanter's Munition,Trade 1
2027Fleece,2027,Fleece,Golden Fleece,Fleece
2027Golden Ticket,2027,Golden Ticket,Golden Ticket,Golden Ticket
2027Guild Button,2027,Guild Button,Adventurers' Guild Button,Bonus
2027Minotaur Hide,2027,Minotaur Hide,Minotaur Hide,Trade 1
2027Monster Trophy,2027,Monster Trophy,Monster Trophy,Treasure Chest
2027Mystic Silk,2027,Mystic Silk,Mystic Silk,Trade 1
2027Oil of Enchantment,2027,Oil of Enchantment,Oil of Enchantment,Trade 2
2027Patron Pin,2027,Patron Pin,Patron Pin,Premium
2027Philosopher's Stone,2027,Philosopher's Stone,Philosopher's Stone,Trade 1
2027Preorder Bonus,2027,Preorder Bonus,Drake's Draught,Preorder
2027PYP,2027,PYP,Ultra Rare,Ultra Rare
2027Treasure Chip,2027,Treasure Chip,Treasure Chip (each),Preorder
2027Wish,2027,Wish,Wish Ring,Premium
